reserve,impressions,demand_factor,WE,WF,revenue_mean
92,2000,1.0,0,8,42.41849562580768
93,2000,1.0,0,8,38.30800559678464
94,2000,1.0,0,8,38.99044225294351
95,2000,1.0,0,8,36.86866168488278
96,2000,1.0,0,8,36.105545109740355
97,2000,1.0,0,8,33.095736913683055
98,2000,1.0,0,8,29.668228536884122
99,2000,1.0,0,8,29.979308024515262
100,2000,1.0,0,8,25.61614041433436
101,2000,1.0,0,8,25.237682155424533
102,2000,1.0,0,8,23.515032174560734
103,2000,1.0,0,8,20.8442014783762
104,2000,1.0,0,8,19.09743144089408
105,2000,1.0,0,8,17.14183450151419
106,2000,1.0,3,5,15.46384814155453
107,2000,1.0,0,8,13.87001983485583
108,2000,1.0,0,8,13.08972578190827
109,2000,1.0,0,8,10.88845934811459
110,2000,1.0,6,2,8.951123415314411
111,2000,1.0,2,6,7.838786553713423
112,2000,1.0,0,8,6.7721500000000034
113,2000,1.0,1,7,5.63781944647581
114,2000,1.0,1,7,4.723181575406832
115,2000,1.0,6,2,3.824451322315257
116,2000,1.0,6,2,2.7687835423361933
117,2000,1.0,2,6,2.661750000000004
118,2000,1.0,8,0,2.097708709444081
119,2000,1.0,2,6,1.454774999999999
120,2000,1.0,5,3,1.4343750000000015
121,2000,1.0,6,2,0.8114562499999994
122,2000,1.0,5,3,0.7766942570157256
123,2000,1.0,0,8,0.4220437500000007
124,2000,1.0,8,0,0.4322562499999997
125,2000,1.0,0,8,0.2478515625
126,2000,1.0,7,1,0.34571250000000026
127,2000,1.0,0,8,0.32960468750000005
128,2000,1.0,7,1,0.1808000000000001
129,2000,1.0,4,4,0.11952656250000004
130,2000,1.0,8,0,0.04712499999999999
0,2000,1.25,2,6,10.824871933246904
1,2000,1.25,1,7,8.983214836720931
2,2000,1.25,1,7,11.211866604541848
3,2000,1.25,1,7,13.022368387944116
4,2000,1.25,3,5,21.688903271733047
5,2000,1.25,2,6,19.334721292669816
6,2000,1.25,2,6,20.01187028292443
7,2000,1.25,2,6,23.6662021119067
8,2000,1.25,2,6,25.228611161722533
9,2000,1.25,2,6,25.727025544386727
10,2000,1.25,1,7,25.162856709836756
11,2000,1.25,2,6,29.85749267327989
12,2000,1.25,2,6,31.23984299851313
13,2000,1.25,1,7,30.24281632569201
14,2000,1.25,2,6,33.73021910740674
15,2000,1.25,2,6,34.92323800228033
16,2000,1.25,2,6,36.21770885056222
17,2000,1.25,1,7,36.015265857009624
18,2000,1.25,2,6,39.514679040938546
19,2000,1.25,1,7,40.271929934251865
20,2000,1.25,1,7,40.22511153176868
21,2000,1.25,1,7,41.05230652188902
22,2000,1.25,1,7,41.985543613224046
23,2000,1.25,1,7,42.857894595081
24,2000,1.25,1,7,45.164120355459424
25,2000,1.25,1,7,45.224376726788435
26,2000,1.25,0,8,45.900609226147736
27,2000,1.25,1,7,47.53976906311215
